"","week","units.car.pick.2010","units.car.pick.2011","hours.car.pick.2010","hours.car.pick.2011","direct.hours.car.pick.2010","direct.hours.car.pick.2011","indirect.hours.car.pick.2010","indirect.hours.car.pick.2011","rate.car.pick.2011","units.car.putaway.2010","units.car.putaway.2011","hours.car.putaway.2010","hours.car.putaway.2011","direct.hours.car.putaway.2010","direct.hours.car.putaway.2011","indirect.hours.car.putaway.2010","indirect.hours.car.putaway.2011","rate.car.putaway.2010","rate.car.putaway.2011","units.inbound.2010","units.inbound.2011","hours.inbound.2010","hours.inbound.2011","rate.inbound.2010","rate.inbound.2011","units.multis.2010","units.multis.2011","hours.multis.2010","hours.multis.2011","direct.hours.multis.2010","direct.hours.multis.2011","indirect.hours.multis.2010","indirect.hours.multis.2011","rate.multis.2010","rate.multis.2011","units.outbound.2010","units.outbound.2011","hours.outbound.2010","hours.outbound.2011","rate.outbound.2010","rate.outbound.2011","units.receive.2010","units.receive.2011","hours.receive.2010","hours.receive.2011","direct.hours.receive.2010","direct.hours.receive.2011","indirect.hours.receive.2010","indirect.hours.receive.2011","rate.receive.2010","rate.receive.2011","units.returns.2010","units.returns.2011","hours.returns.2010","hours.returns.2011","direct.hours.returns.2010","direct.hours.returns.2011","indirect.hours.returns.2010","indirect.hours.returns.2011","rate.returns.2010","rate.returns.2011","units.shipping.2010","units.shipping.2011","hours.shipping.2010","hours.shipping.2011","rate.shipping.2010","rate.shipping.2011","units.singles.2010","units.singles.2011","hours.singles.2010","hours.singles.2011","direct.hours.singles.2010","direct.hours.singles.2011","indirect.hours.singles.2010","indirect.hours.singles.2011","rate.singles.2010","rate.singles.2011","units.singulate.2011","hours.singulate.2011","rate.singulate.2011","units.static.picking.2010","units.static.picking.2011","hours.static.picking.2010","hours.static.picking.2011","direct.hours.static.picking.2010","direct.hours.static.picking.2011","indirect.hours.static.picking.2010","indirect.hours.static.picking.2011","rate.static.picking.2010","rate.static.picking.2011","units.static.putaway.2010","units.static.putaway.2011","hours.static.putaway.2010","hours.static.putaway.2011","direct.hours.static.putaway.2010","direct.hours.static.putaway.2011","indirect.hours.static.putaway.2010","indirect.hours.static.putaway.2011","rate.static.putaway.2010","rate.static.putaway.2011","all.indirect","indirect.hours.all.2011","all.direct","direct.hours.all.2011","outbound.indirect","indirect.hours.outbound.2011","outbound.direct","direct.hours.outbound.2011","indirect.hours.outbound.2010","direct.hours.outbound.2010","indirect.hours.inbound.2011","direct.hours.inbound.2011","indirect.hours.inbound.2010","direct.hours.inbound.2010","rate.picking.2010","rate.picking.2011","rate.putaway.2010","rate.putaway.2011","hours.problem.solve.singles.2010","hours.problem.solve.singles.2011","hours.problem.solve.multis.2010","hours.problem.solve.multis.2011","hours.problem.solve.carousel.picking.2010","hours.problem.solve.carousel.picking.2011","hours.problem.solve.static.picking.2010","hours.problem.solve.static.picking.2011","hours.problem.solve.carousel.putaway.2010","hours.problem.solve.carousel.putaway.2011","hours.problem.solve.static.putaway.2010","hours.problem.solve.static.putaway.2011","hours.problem.solve.2010","hours.problem.solve.2011"
"16",16,133782,115598,658.79,545.665,484.83,443.16,173.96,102.505,211.85,137079,101500,585,455.42,476.5,364.42,108.5,91,234.32,222.87,377721,635190,8039.89,15487.018,46.98,41.01,169354,292308,2523.17,4893.7,1948.73,4063.58,574.44,830.12,67.12,59.73,328230,553807,8937.95,20247.005,36.72,27.35,252403,468451,2143.94,4086.4264,1399.94,2943.39,744,1143.0364,117.73,114.64,125318,166739,3819.7,5970.3618,3095.705,4621.3846,723.995,1348.9772,32.81,27.93,328230,553807,1170.51,1729.6,280.42,320.19,111084,172682,1212.17,2456.15,756.41,1628.82,450.42,827.33,91.64,70.31,NA,NA,NA,200842,438254,2383.67,7672.195,1940.57,6333.45,443.1,1338.745,84.26,57.12,196578,509293,1491.25,4974.8098,1381.75,3714.7176,109.5,1260.0922,131.82,102.37,6941.8058,6941.8058,24112.9222,24112.9222,3098.7,3098.7,12469.01,12469.01,1641.92,5130.54,3843.1058,11643.9122,1685.995,6353.895,109.984683446948,67.3961347601444,160.701745936183,112.480138501689,103.97,130.875,116.26,281,33.8,28.625,218.62,312.125,21.75,2.5,23,50.5,517.4,805.625
"17",17,130795,116926,653.3868,537.665,494.8118,438.78,158.575,98.885,217.47,144193,107304,598.95,485.8116,478.5,420.6244,120.45,65.1872,240.74,220.88,362570,538537,7634.99,13396.25054,47.49,40.2,162163,287451,2323.89,4593.44,1788.42,3857.67,535.47,735.77,69.78,62.58,310454,549414,8791.1225,18760.34,35.31,29.29,247098,369821,2144.85,3309.37,1342.01,2211.97,802.84,1097.4,115.21,111.75,115472,168716,3402.94,5657.0454,2726.51,4507.3609,676.43,1149.6845,33.93,29.82,310454,549414,1055.5,1649.67,294.13,333.04,108849,170148,1287.73,2196.375,796.99,1528.42,486.25,667.955,84.53,77.47,NA,NA,NA,188206,436709,2473.1047,6889.465,2005.1861,5849.155,467.9186,1040.31,76.1,63.39,183345,429426,1488.25,3944.02354,1401.75,3086.28889,86.5,857.73465,123.2,108.88,5712.92635,5712.92635,21900.26919,21900.26919,2542.92,2542.92,11674.025,11674.025,1648.2136,5085.4079,3170.00635,10226.24419,1686.22,5948.77,102.031622347286,74.5422525255381,156.92698351859,121.162522540286,115.54,109.875,108.89,271.36,27.6,24.13,250.0328,339.125,29.3,5,16.5,25.5815,547.8628,775.0715
"18",18,145438,120132,644.8,516.425,478.28,424.92,166.52,91.505,232.62,160385,105496,723,461.9808,606,376.7608,117,85.22,221.83,228.36,441013,643510,8640.9724,14321.95483,51.04,44.93,170700,303066,2544.88,4695.79,1936.6,3975.7,608.28,720.09,67.08,64.54,334464,578607,8873.56,18738.305,37.69,30.88,326002,475154,2699.6394,4043.54,1717.1944,2795.91,982.445,1247.63,120.76,117.51,115011,168356,3658.083,5352.0305,2882.58,4299.0979,775.503,1052.9326,31.44,31.46,334464,578607,1101.5,1650.1,303.64,350.65,113581,179619,1242.88,2066.705,767.84,1368.08,471.16,698.625,91.39,86.91,NA,NA,NA,196903,458701,2326.29,6982.22,1851.69,6219.76,474.6,762.46,84.64,65.7,203874,509621,1560.25,4464.40353,1488.25,3402.02533,72,1062.3782,130.67,114.15,5720.8408,5720.8408,22862.25403,22862.25403,2272.68,2272.68,11988.46,11988.46,1720.56,5034.41,3448.1608,10873.79403,1946.948,6694.0244,115.224042354826,77.1916792967263,159.535311507719,124.861756370519,110.55,134.375,101.63,298.75,29.1,22.25,228.56,355.75,18.75,0,0,16.43,488.59,827.555
"19",19,128062,122731,584.6029,508.4,436.1035,434.65,148.4994,73.75,241.41,150339,139331,678.49,545.8591,554.49,489.5958,124,56.2633,221.58,255.25,378901,675277,7785.43,14797.61195,48.67,45.63,158827,318743,2345.91,5054.84,1882.21,4257.2,463.7,797.64,67.7,63.06,303909,592082,8243.8639,19415.22,36.86,30.5,262870,516606,2004.35,4329.06,1312.5,3237.2,691.85,1091.86,131.15,119.33,116031,158671,3683.59,5184.33484,2956.67,4168.14954,726.92,1016.1853,31.5,30.61,303909,592082,1094.61,1723.83,277.64,343.47,104804,181825,1147.74,2207.5,711.58,1450.58,433.69,756.92,91.31,82.37,NA,NA,NA,179844,471402,2146.511,7108.15,1794.6063,6274.56,351.9047,833.59,83.78,66.32,198123,558327,1419,4738.35801,1378,3806.9693,41,931.38871,139.62,117.83,5557.59731,5557.59731,24118.90464,24118.90464,2461.9,2461.9,12416.99,12416.99,1397.7941,4824.4998,3095.69731,11701.91464,1583.77,6201.66,112.740080155573,78.0055274369629,166.132854030293,132.026747856316,81.46,128.25,100.8,312.12,24.24,21,202.5508,344.33,28.25,0.13,0,26.66,437.3008,832.49
"20",20,125710,108447,554.4314,474.4,415.432,389.08,138.9994,85.32,228.6,128639,133916,626.17,579.18,546.92,469.46,79.25,109.72,205.44,231.22,323466,598957,7007.74,14120.26951,46.16,42.42,143053,285282,2127.18,4789.71,1653.17,3944.21,474.01,845.5,67.25,59.56,288630,533253,7770.4516,18784.38,37.14,28.39,207103,434646,1467.73,4001.1759,969.44,2553.6878,498.29,1447.4881,141.1,108.63,116363,164311,3786.01,5368.71361,2975.19,4216.452,810.82,1152.26161,30.73,30.61,288630,533253,1025.5,1597.42,281.45,333.82,98621,172708,1041.713,2221.92,668.74,1438.34,370.113,783.58,94.67,77.73,NA,NA,NA,169796,426856,2054.9172,6848.96,1716.3634,6230.4,338.5538,618.56,82.63,62.32,145272,439581,1127.83,4171.2,1047.08,2979.24,80.75,1191.96,128.81,105.38,6234.38971,6234.38971,22220.8698,22220.8698,2332.96,2332.96,12002.03,12002.03,1321.6762,4453.7054,3901.42971,10218.8398,1469.11,5538.63,113.248954164269,73.0952732079264,156.163625997719,120.726552402124,83.003,142.5,93.26,273.5,28.01,8.995,198.6849,188.5,18.75,2,0,48.5,421.7079,663.995
"21",21,147689,121237,644.2375,501.715,487.8275,427.09,156.41,74.625,241.65,141656,73235,697.37,307.15,585.23,271.15,112.14,36,203.13,238.43,321506,526260,7282.3,13875.15511,44.15,37.93,171432,335331,2512.85,5599.52,1964.23,4555.65,548.62,1043.87,68.22,59.89,331794,618727,8940.3781,22411.915,37.11,27.61,200429,343239,1590.09,3419.70061,997.8,2029.714,592.29,1389.98661,126.05,100.37,121077,183021,3940.2,5996.1126,3003.91,4735.8654,936.29,1260.2472,30.73,30.52,331794,618727,1169.02,1851.9,283.82,334.1,115987,178624,1291.45,2308.455,800.96,1481.92,491.34,826.535,89.81,77.38,NA,NA,NA,189839,504258,2324.7906,8642.59,1925.51,7471.07,399.2806,1171.52,81.66,58.35,137663,430448,1054.64,4152.1919,991.75,2847.5073,62.89,1304.6846,130.53,103.67,7107.46841,7107.46841,23819.9667,23819.9667,3116.55,3116.55,13935.73,13935.73,1595.6506,5178.5275,3990.91841,9884.2367,1703.61,5578.69,113.682992761167,68.4026834188055,159.427742992334,112.950074539026,96.74,137.75,110.23,304.12,30.8,11,186.45,372.75,26.25,0,0,47.7693,450.47,873.3893
"22",22,118368,98969,556.4249,428.59,391.1858,371.93,165.2391,56.66,230.92,55227,78812,261.42,327.255,210.5,284.83,50.92,42.425,211.26,240.83,243808,508205,5482.979,12041.7521,44.47,42.2,157875,286110,2139.85,4763.055,1670.27,3971.69,469.58,791.365,73.78,60.07,289565,533464,7669.5486,18905.595,37.76,28.22,144286,359606,1012.97,3230.9917,647.3,2159.6987,365.67,1071.293,142.44,111.3,99522,148599,3161.034,5017.1964,2473.2,3899.02,687.834,1118.1764,31.48,29.62,289565,533464,1070.48,1571.16,270.5,339.54,99395,159470,1067.42,2096.125,628.79,1330.5,438.63,765.625,93.12,76.08,NA,NA,NA,170747,432206,2032.6637,7213.745,1675.1568,6126.55,357.5069,1087.195,84,59.91,149292,384836,1047.555,3466.309,966.635,2526.7865,80.92,939.5225,142.51,111.02,5872.2619,5872.2619,20671.0052,20671.0052,2700.845,2700.845,11800.67,11800.67,1430.956,4365.4026,3171.4169,8870.3352,1185.344,4297.635,111.66670773646,69.5042810868668,156.243625737696,122.219633041646,91.03,162.625,105.99,317.745,25.1794,5.75,163.3636,321.26,2,0,0,50.5,387.563,857.88
"23",23,123292,109810,582.0826,440,435.1376,389.34,146.945,50.66,249.57,161800,105992,710.185,407.45,592.18,355.5,118.005,51.95,227.83,260.13,357738,559368,7351.92,13842.0162,48.66,40.41,154768,330679,2245.72,5287.65,1750.04,4432.65,495.68,855,68.92,62.54,297403,608691,7902.4955,20516.015,37.63,29.67,225613,380309,1553.4,3375.3582,1091.55,2232.9578,461.85,1142.4004,145.24,112.67,132125,179059,4064.88,6030.603,3200.94,4514.4627,863.94,1516.1403,32.5,29.69,297403,608691,1071.89,1774.41,277.46,343.04,108606,183946,1194.59,2228.625,757.65,1488.75,436.94,739.875,90.91,82.54,167628,1171,143.15,172166,497904,2034.8229,7698.985,1668.3075,6537.325,366.5154,1161.66,84.61,64.67,148811,455500,1023.455,4028.605,1002.08,2753.875,21.375,1274.73,145.4,113.07,6792.4157,6792.4157,22704.8605,22704.8605,2807.195,2807.195,12848.065,12848.065,1446.0804,4611.1351,3985.2207,9856.7955,1465.17,5886.75,112.903580201883,74.6670500068497,179.166955077179,126.574625427322,96.56,149.625,111.86,330,26.315,15,185.6265,395.08,0,0,4.125,40.5,424.4865,930.205
"24",24,122651,111498,557.5564,521.25,409.6846,403.25,147.8718,118,213.91,92030,139344,400.655,534.73,319.5,509.83,81.155,24.9,229.7,260.59,250005,557386,5948.923,13963.9617,42.03,39.92,144116,297729,2097.46,5071.76,1648.5,4153.54,448.96,918.22,68.71,58.7,288375,582481,7669.2061,21796.46,37.6,26.72,130014,380810,925.05,3262.6856,626.42,2116.4636,298.63,1146.222,140.55,116.72,119991,176576,3748.843,6191.2161,2987.4,4589.5333,761.443,1601.6828,32.01,28.52,288375,582481,1055.54,1854,273.2,314.18,100845,181913,1093.938,2213.505,704.55,1477.83,389.388,735.675,92.19,82.18,169776,1301.75,130.42,164510,470183,2048.2817,8667.46,1707.2033,7275.96,341.0784,1391.5,80.32,54.25,115050,403815,874.375,3975.33,793.5,2685.12,80.875,1285.21,131.58,101.58,7221.4098,7221.4098,23211.5269,23211.5269,3163.395,3163.395,13310.58,13310.58,1327.2982,4469.9379,4058.0148,9900.9469,1222.103,4726.82,110.199094870859,63.3038805229461,162.411864818867,120.432765861208,70.614,160.5,80.02,309.37,21.4676,21.5,177.5406,272.5,10,0,10,33,369.6422,796.87
"25",25,122627,115148,571.2199,515.58,433.5969,413.08,137.623,102.5,223.34,137738,120741,666.35,495.83,561.66,449.5,104.69,46.33,206.71,243.51,303013,504676,6139.24,13750.3648,49.36,36.7,135544,290860,2003.69,4990.13,1554.38,4047.17,449.31,942.96,67.65,58.29,277731,548650,7378.109,21547.31,37.64,25.46,183277,313049,1181.53,2698.6178,818.85,1664.9982,362.68,1033.6196,155.12,116,119736,191627,3536.62,6819.787,2818.13,5140.179,718.49,1679.608,33.86,28.1,277731,548650,1014.07,1603.75,273.88,342.1,95925,171288,990.1,2116.83,652.54,1454.5,337.56,662.33,96.88,80.92,166691,1129.95,147.52,155849,435960,1914.7191,9113.4,1549.6059,7117.65,365.1132,1995.75,81.4,47.84,102962,388448,754.74,3736.13,698.92,2547.3,55.82,1188.83,136.42,103.97,7651.9276,7651.9276,22834.3772,22834.3772,3703.54,3703.54,13032.4,13032.4,1289.6062,4190.1228,3948.3876,9801.9772,1241.68,4897.56,112.020447806644,57.2343072682673,169.377027492981,120.319899053866,57.7,129.75,87.51,276,28.96,17.5,192.3968,278,0,0,0,56.5,366.5668,757.75
"26",26,117397,99309,550.59,406.545,428.57,361.92,122.02,44.625,244.28,128432,151790,599.775,644.7,541.17,598.37,58.605,46.33,214.13,235.44,277727,657616,6053.77,14440.12805,45.88,45.54,126416,260262,1859.91,4548.08,1420.48,3707.98,439.43,840.1,67.97,57.22,263569,497502,7112.95,20409.88,37.05,24.38,164247,495425,1184.75,3918.03705,788.19,2789.7335,396.56,1128.30355,138.63,126.45,113480,162191,3450.86,5689.661,2740.52,4266.1236,710.34,1423.5374,32.88,28.51,263569,497502,979.52,1530.42,269.08,325.08,89399,152028,944.87,1941.75,590.22,1177.25,354.65,764.5,94.62,78.29,168010,1134.75,148.06,145600,397382,1851.78,8962.97,1575.07,6516.18,276.71,2446.79,78.63,44.34,108275,479714,818.385,4187.73,771.01,3224.24,47.375,963.49,132.3,114.55,7657.67595,7657.67595,22641.7971,22641.7971,4096.015,4096.015,11763.33,11763.33,1192.81,4014.34,3561.66095,10878.4671,1212.88,4840.89,109.473977780275,53.0113885297158,166.911349918204,130.680423720571,65.61,106.125,75.01,254.5,35.33,0,135.58,415.75,0,0,0,38,311.53,814.375
"27",27,111644,96975,508.5106,425.83,366.8006,354.08,141.71,71.75,227.73,143958,135375,645.015,607.9,544.015,563.98,101,43.92,223.19,222.69,337804,632992,6181.3,15173.31381,54.65,41.72,117157,239929,1710.35,4310.82,1310.76,3562.66,399.59,748.16,68.5,55.66,252452,444132,6756.641,18936.63,37.36,23.45,253581,481986,1746.61,3664.52811,1203.98,2644.0909,542.63,1020.43721,145.18,131.53,84223,151006,2697.81,6229.9857,2087.92,4119.3839,609.89,2110.6018,31.22,24.24,252452,444132,927.855,1350.33,272.08,328.91,82860,141217,869.62,1727.45,536.06,1167.37,333.56,560.08,95.28,81.75,164664,1112.5,148.01,143433,357215,1735.0054,8351.32,1408.1143,6574.83,326.8911,1776.49,82.67,42.77,164986,491915,1091.865,4670.9,1014.445,3821.38,77.42,849.52,151.1,105.31,7180.95901,7180.95901,22807.7748,22807.7748,3156.48,3156.48,11658.94,11658.94,1201.7511,3621.7349,4024.47901,11148.8348,1330.94,4850.36,113.69519985594,51.7468654403764,177.8729676201,118.831931499583,80.43,125.75,68.4,259,24.32,13.25,150.1317,404.33,14,4,14,31.5,351.2817,837.83
"28",28,111582,98410,555.185,400.695,395.58,357.82,159.605,42.875,245.6,108920,116947,557.19,510.22,437.73,476.22,119.46,34,195.48,229.21,315771,560114,6725.99,14929.507961,46.95,37.52,121683,252095,1892.34,4229.05,1382.28,3318.73,510.06,910.32,64.3,59.61,253343,475893,7086.05,17965.01,35.75,26.49,216573,406405,1641.03,3340.876361,1032.95,2443.8521,608.08,897.024261,131.97,121.65,99198,153709,3277.81,6906.8316,2498.63,3828.5809,779.18,3078.2507,30.26,22.25,253343,475893,963.46,1315.08,262.95,361.87,89515,154631,990.79,1694.09,577.11,1128.59,413.68,565.5,90.35,91.28,160840,1161.5,138.48,140044,392349,1867.435,7499.895,1430.27,6440.52,437.165,1059.375,74.99,52.31,168356,439962,1249.96,4171.58,1080.02,2976.2,169.94,1195.38,134.69,105.47,7782.724961,7782.724961,20970.513,20970.513,2578.07,2578.07,11245.66,11245.66,1520.51,3785.24,5204.654961,9724.853,1676.66,5049.33,103.865236809735,62.1167533057658,153.432753230224,118.951898842326,81.14,121.875,76.2,260.75,16.5,10.375,150.3,511.125,1,2.5,0.13,67.75,325.27,974.375
"29",29,107623,101225,502.84,401.25,376.15,372.75,126.69,28.5,252.27,128898,67363,616.105,282.9,525.37,255.15,90.735,27.75,209.21,238.12,338923,478727,6984.367,15029.8334,48.53,31.85,126641,266871,1753.35,4446.6,1346.45,3756.48,406.9,690.12,72.23,60.02,256620,539530,6793.6006,20857.335,37.77,25.87,220576,305871,1527.657,2596.29,1017.38,1787.55,510.277,808.74,144.39,117.81,118347,172856,3694.41,8078.3934,2879.28,4741.4827,815.13,3336.9107,32.03,21.4,256620,539530,952.1,1490.91,269.53,361.88,91058,162686,928.11,1912.06,588.74,1348.56,339.37,563.5,98.11,85.08,189571,1311.5,144.55,148121,436687,1844.8906,8886.035,1535.6794,7455.16,309.2112,1430.875,80.29,49.14,166236,410682,1146.195,4072.25,1068.3,2748.65,77.895,1323.6,145.03,100.85,8209.9957,8209.9957,22465.7827,22465.7827,2712.995,2712.995,12932.95,12932.95,1182.1712,3847.0194,5497.0007,9532.8327,1494.037,5490.33,108.932430322287,57.9191873620762,167.470918685808,109.765450099308,66.71,130.125,72.43,294.25,16.67,9.25,123.75,608.375,4.74,0,4.74,57.5,289.04,1099.5
"30",30,102585,96256,512.46,389.34,379.41,339.09,133.05,50.25,247.23,106527,75082,535.7645,310.65,466.75,293.4,69.0145,17.25,198.83,241.69,324985,476724,6549.005,14067.278,49.62,33.89,123735,253614,1809.715,4496.29,1383.53,3621.03,426.185,875.26,68.37,56.41,251516,500475,6871.2495,19304.765,36.6,25.92,220521,320874,1528.87,2692.51,1055.07,1880.2,473.8,812.31,144.24,119.17,104464,155850,3231.716,7217.248,2520.327,4307.1139,682.58,2910.1341,32.32,21.59,251516,500475,952.39,1468.33,264.09,340.85,89528,159045,962.33,1935.22,610.82,1313.97,351.51,621.25,93.03,82.18,143923,1096.5,131.26,145606,405856,1908.3095,7837.6,1613.32,6395.26,294.9895,1442.34,76.3,51.78,181933,391265,1252.6545,3846.87,1117.85,2816.87,134.8045,1030,145.24,101.71,7758.7941,7758.7941,20966.9339,20966.9339,2989.1,2989.1,11669.35,11669.35,1205.7345,3987.08,4769.6941,9297.5839,1360.199,5159.997,102.525663843666,61.0326561273086,161.29329871803,112.169514518271,82,138.5,58.49,328.5,27.05,0.75,74.0836,474.5,0,0.5,0,41,241.6236,983.75
"31",31,105748,98007,515.2589,391.75,383.0789,343.5,132.18,48.25,250.18,107265,114688,553.28,541.4,482.66,457.16,70.62,84.24,193.87,211.84,384364,615066,7658.3611,17039.5832,50.19,36.1,139061,262830,2002.15,4481.07,1619.77,3488.12,382.38,992.95,69.46,58.65,278765,509047,7258.4196,19577.97,38.41,26,283032,469340,2167.3111,4672.74,1532.138,3203.07,635.1731,1469.67,130.59,100.44,101332,145726,3206.78,6692.4682,2536.364,3833.0066,670.416,2859.4616,31.6,21.77,278765,509047,1049.7,1557.5,265.57,326.84,95684,159171,945.65,1900.32,630.41,1345.82,315.24,554.5,101.18,83.76,153536,1129.25,135.96,173035,404895,1945.4507,8013.74,1702.347,6508.91,243.1037,1504.83,88.94,50.53,213647,484478,1730.99,5132.975,1556.64,3851.97,174.35,1297.005,123.42,94.39,8810.9066,8810.9066,23031.5566,23031.5566,3100.53,3100.53,11686.35,11686.35,1072.9037,4335.6059,5710.3766,11345.2066,1550.5591,6107.802,113.293742585472,59.8301824164921,140.487770710117,105.591540918603,61.88,113.75,76.22,255.57,28,10.5,94.7437,515.66,0,2.5,0,23.25,260.8437,921.23
"32",32,109326,102110,542.4517,427.82,411.1167,365.57,131.335,62.25,238.68,103522,86204,555.608,398.95,411.42,341.7,144.188,57.25,186.32,216.08,369825,614497,8046.921,16987.7199,45.96,36.17,147457,263407,2077.04,4493.305,1674.99,3559.48,402.05,933.825,70.99,58.62,310105,551409,8185.2767,21565,37.89,25.57,266848,470209,2158.96,4718.9316,1505.34,3314.6049,653.62,1404.3267,123.6,99.64,102977,144288,3356.29,6412.0883,2605.01,3696.9249,751.28,2715.1634,30.68,22.5,310105,551409,1139.99,2032.33,272.02,271.32,102624,170042,1070.89,2351.625,706.1,1545.25,364.79,806.375,95.83,72.31,167267,1152.25,145.17,203307,445135,2322.545,8602.48,1920.19,6874.16,402.355,1728.32,87.54,51.74,234171,509035,1976.063,5457.75,1764.26,3889.3,211.803,1568.45,118.5,93.27,9275.9601,9275.9601,23586.9898,23586.9898,3530.77,3530.77,12344.46,12344.46,1300.53,4712.3967,5745.1901,11242.5298,1760.891,6286.03,109.121591658378,60.6009767117372,133.387395123616,101.633855242713,71.09,146.125,73.67,266.99,15.45,10.5,193.57,458.83,8.515,0,8.515,71.5,370.81,953.945
"33",33,112261,98503,532.235,400.09,394.24,345.84,137.995,54.25,246.2,96704,87348.62,531.705,432.75,396.37,330.805,135.335,101.945,181.88,201.85,301330,518083,6922.8678,15024.2764,43.53,34.48,157229,278185,2222.33,4557,1852.59,3743.8,369.74,813.2,70.75,61.05,322207,535811,8386.23,20434.06,38.42,26.22,190199,393627,1339.1998,3534.33,899.3873,2598.41,439.8125,935.92,142.02,111.37,111131,124456,3461.308,6435.4164,2775.147,3358.8133,686.161,3081.3731,32.11,19.34,322207,535811,1114.66,1990.83,289.06,269.14,110195,173938,1144.13,2160.455,765.29,1534.5,378.84,625.955,96.31,80.51,150599,1163,129.49,210044,433044,2416.815,8127.95,2029.51,6905.95,387.305,1222,86.91,53.28,184912,424887,1590.655,4621.78,1372.56,3424.2525,218.095,1194.7775,116.25,91.93,8029.4206,8029.4206,22242.3708,22242.3708,2715.405,2715.405,12530.09,12530.09,1273.88,5041.63,5314.0156,9712.2808,1479.4035,5443.4643,109.291127651278,62.3293277236036,132.690024312558,101.341889354698,75.93,129.875,61.93,276.25,21.3,12.75,172.51,348,4.73,19,4.23,52.08,340.63,837.955
